,product_name
0,Banana
1,Bag of Organic Bananas
2,Organic Strawberries
3,Organic Baby Spinach
4,Organic Hass Avocado
5,Organic Avocado
6,Large Lemon
7,Strawberries
8,Limes
9,Organic Whole Milk
10,Organic Raspberries
11,Organic Yellow Onion
12,Organic Garlic
13,Organic Zucchini
14,Organic Blueberries
15,Cucumber Kirby
16,Organic Fuji Apple
17,Organic Lemon
18,Organic Grape Tomatoes
19,Apple Honeycrisp Organic
20,Seedless Red Grapes
21,Organic Cucumber
22,Honeycrisp Apple
23,Organic Baby Carrots
24,Sparkling Water Grapefruit
25,Organic Half & Half
26,Organic Large Extra Fancy Fuji Apple
27,Yellow Onions
28,Organic Baby Arugula
29,Organic Gala Apples
30,Carrots
31,Fresh Cauliflower
32,Original Hummus
33,Organic Cilantro
34,Half & Half
35,Asparagus
36,Organic Red Onion
37,Organic Small Bunch Celery
38,Michigan Organic Kale
39,Organic Tomato Cluster
40,Organic Blackberries
41,100% Whole Wheat Bread
42,Organic Italian Parsley Bunch
43,Organic Whole String Cheese
44,Organic Granny Smith Apple
45,Raspberries
46,Organic Unsweetened Almond Milk
47,Organic Red Bell Pepper
48,Spring Water
49,Blueberries
50,Red Peppers
51,Green Bell Pepper
52,Organic Peeled Whole Baby Carrots
53,Red Vine Tomato
54,Organic Garnet Sweet Potato (Yam)
55,Organic Ginger Root
56,Hass Avocados
57,Boneless Skinless Chicken Breasts
58,Extra Virgin Olive Oil
59,Small Hass Avocado
60,Organic Kiwi
61,Unsweetened Almondmilk
62,Organic D'Anjou Pears
63,Organic Reduced Fat 2% Milk
64,Lime Sparkling Water
65,Bunched Cilantro
66,Grated Parmesan
67,Broccoli Crown
68,Organic Lacinato (Dinosaur) Kale
69,Sparkling Natural Mineral Water
70,Organic Navel Orange
71,Red Onion
72,Jalapeno Peppers
73,Uncured Genoa Salami
74,Large Alfresco Eggs
75,Roma Tomato
76,Organic Grade A Free Range Large Brown Eggs
77,"Clementines, Bag"
78,Orange Bell Pepper
79,Grape White/Green Seedless
80,Organic Broccoli
81,Organic Black Beans
82,100% Raw Coconut Water
83,Organic Bartlett Pear
84,2% Reduced Fat Milk
85,Garlic
86,Shredded Parmesan
87,Granny Smith Apples
88,Organic Carrot Bunch
89,Soda
90,Unsalted Butter
91,Whole Milk
92,Organic Reduced Fat Milk
93,Bartlett Pears
94,Unsweetened Original Almond Breeze Almond Milk
95,Organic Romaine Lettuce
96,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese
97,Pure Irish Butter
98,Organic Broccoli Florets
99,Sparkling Lemon Water
100,Feta Cheese Crumbles
101,Organic Russet Potato
102,Organic Large Brown Grade AA Cage Free Eggs
103,Organic Baby Broccoli
104,Organic Spring Mix
105,Organic Whole Strawberries
106,Whipped Cream Cheese
107,Vanilla Almond Breeze Almond Milk
108,Clementines
109,Italian Sparkling Mineral Water
110,Sharp Cheddar Cheese
111,Organic Garbanzo Beans
112,Frozen Organic Wild Blueberries
113,Total 2% with Strawberry Lowfat Greek Strained Yogurt
114,Russet Potato
115,Fat Free Milk
116,Organic Roma Tomato
117,Organic Extra Firm Tofu
118,Green Beans
119,Pure Sparkling Water
120,Organic Roasted Turkey Breast
121,No Salt Added Black Beans
122,100% Recycled Paper Towels
123,Organic Milk
124,Organic Coconut Milk
125,"Organic Red Radish, Bunch"
126,Green Onions
127,Honey Nut Cheerios
128,Organic Basil
