,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'100% Raw Coconut Water'}),frozenset({'Bag of Organic Bananas'}),0.016087531640669325,0.16178474881845475,0.0037618548816242625,0.2338366733722085,1.4453567167484134,0.0011591376160296324,1.0940425129337432
1,frozenset({'Bag of Organic Bananas'}),frozenset({'100% Raw Coconut Water'}),0.16178474881845475,0.016087531640669325,0.0037618548816242625,0.02325222191274403,1.4453567167484132,0.0011591376160296324,1.0073352511598288
2,frozenset({'Organic Baby Spinach'}),frozenset({'100% Raw Coconut Water'}),0.10311202036145432,0.016087531640669325,0.0019368452445082777,0.018783893843984028,1.1676057125195198,0.0002780273544100416,1.002747979967306
3,frozenset({'100% Raw Coconut Water'}),frozenset({'Organic Baby Spinach'}),0.016087531640669325,0.10311202036145432,0.0019368452445082777,0.12039418400346312,1.1676057125195198,0.0002780273544100416,1.0196476232054346
4,frozenset({'Organic Hass Avocado'}),frozenset({'100% Raw Coconut Water'}),0.09048319946515543,0.016087531640669325,0.002813505317107202,0.031094228914735348,1.9328154007249347,0.0013578539827625202,1.0154882938278478
5,frozenset({'100% Raw Coconut Water'}),frozenset({'Organic Hass Avocado'}),0.016087531640669325,0.09048319946515543,0.002813505317107202,0.17488732143311858,1.9328154007249347,0.0013578539827625202,1.102294055297469
6,frozenset({'Organic Lemon'}),frozenset({'100% Raw Coconut Water'}),0.037381359011553476,0.016087531640669325,0.0011568635724389543,0.03094760605363229,1.923701332490104,0.0005554897765693683,1.0153346449642902
7,frozenset({'100% Raw Coconut Water'}),frozenset({'Organic Lemon'}),0.016087531640669325,0.037381359011553476,0.0011568635724389543,0.07191057014081638,1.923701332490104,0.0005554897765693683,1.0372046162992092
8,frozenset({'100% Raw Coconut Water'}),frozenset({'Organic Raspberries'}),0.016087531640669325,0.058417923520011406,0.0017881407555580863,0.11115072190675053,1.9026818347741372,0.000848340562547702,1.0593270419253318
9,frozenset({'Organic Raspberries'}),frozenset({'100% Raw Coconut Water'}),0.058417923520011406,0.016087531640669325,0.0017881407555580863,0.0306094542190557,1.9026818347741372,0.000848340562547702,1.0149804664813267
10,frozenset({'Organic Strawberries'}),frozenset({'100% Raw Coconut Water'}),0.11289128636756718,0.016087531640669325,0.002259243131020125,0.020012555474513475,1.24397924563652,0.0004431009896260264,1.0040051776742351
11,frozenset({'100% Raw Coconut Water'}),frozenset({'Organic Strawberries'}),0.016087531640669325,0.11289128636756718,0.002259243131020125,0.1404344172544626,1.2439792456365202,0.0004431009896260264,1.032043082505607
12,frozenset({'100% Whole Wheat Bread'}),frozenset({'Apple Honeycrisp Organic'}),0.025854917673835753,0.03575134479245482,0.0010487148532024515,0.04056152359222993,1.1345453948012125,0.0001243667768646155,1.005013535435628
13,frozenset({'Apple Honeycrisp Organic'}),frozenset({'100% Whole Wheat Bread'}),0.03575134479245482,0.025854917673835753,0.0010487148532024515,0.029333577779814834,1.1345453948012125,0.0001243667768646155,1.0035837853523586
14,frozenset({'100% Whole Wheat Bread'}),frozenset({'Bag of Organic Bananas'}),0.025854917673835753,0.16178474881845475,0.004607381232018739,0.17820134993820705,1.1014718707396458,0.0004244498704353951,1.0199764274600815
15,frozenset({'Bag of Organic Bananas'}),frozenset({'100% Whole Wheat Bread'}),0.16178474881845475,0.025854917673835753,0.004607381232018739,0.028478464538019395,1.1014718707396456,0.0004244498704353951,1.0027004515787044
16,frozenset({'100% Whole Wheat Bread'}),frozenset({'Banana'}),0.025854917673835753,0.20125944099401782,0.006450415655674141,0.2494850587825205,1.239619157989891,0.0012468693776916057,1.064256705816238
17,frozenset({'Banana'}),frozenset({'100% Whole Wheat Bread'}),0.20125944099401782,0.025854917673835753,0.006450415655674141,0.032050251276738224,1.239619157989891,0.0012468693776916057,1.0064004702837872
